Global Redesign,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Europe,$,"(1,246)",$,(727)
India,nan,(804),nan,(23)
South America,nan,(566),nan,"(2,486)"
Russia,nan,(357),nan,18
China,nan,(101),nan,(56)
Separations and Other (not included above),nan,(107),nan,(94)
Subtotal Global Redesign,$,"(3,181)",$,"(3,368)"
Other Items,nan,nan,nan,nan
Gain on transaction with Argo AI,$,—,$,"3,454"
Gain on Rivian mark-to-market,nan,94,nan,143
Gains and losses on investments in equity securities (excl. Rivian),nan,28,nan,100
Takata field service action,nan,—,nan,(610)
"Other incl. Focus cancellation, Transit Connect customs ruling,",nan,nan,nan,nan
"North America hourly buyouts, and Chariot",nan,(273),nan,(226)
Subtotal Other Items,$,(151),$,"2,861"
Pension and OPEB Gain/(Loss),nan,nan,nan,nan
Pension and OPEB remeasurement,$,"(2,500)",$,"(1,435)"
Pension curtailment,nan,(45),nan,(61)
Subtotal Pension and OPEB Gain/(Loss),$,"(2,545)",$,"(1,496)"
Total EBIT Special Items,$,"(5,877)",$,"(2,003)"
Cash effect of Global Redesign (incl. separations),$,(911),$,(503)
Provision for/(Benefit from) tax special items (a),$,"(1,298)",$,721
_________,nan,nan,nan,nan
