Company Excluding Ford Credit,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Company Adjusted EBIT excluding Ford Credit (a),$,(0.1),$,5.3,$,7.8
Capital spending,$,(5.7),$,(6.2),$,(6.5)
Depreciation and tooling amortization,nan,5.3,nan,5.1,nan,5.2
Net spending,$,(0.4),$,(1.1),$,(1.3)
Receivables,$,0.4,$,(0.2),$,(1.0)
Inventory,nan,0.3,nan,(1.8),nan,(2.5)
Trade Payables,nan,1.3,nan,0.3,nan,3.7
Changes in working capital,$,2.0,$,(1.7),$,0.2
Ford Credit distributions,$,3.3,$,7.5,$,2.1
Interest on debt and cash taxes,nan,(1.8),nan,(2.3),nan,(1.7)
All other and timing differences,nan,(1.7),nan,(3.1),nan,1.9
Company adjusted free cash flow (a),$,1.3,$,4.6,$,9.1
Global Redesign (including separations),$,(0.5),$,(1.9),$,(0.4)
Changes in debt,nan,8.4,nan,(3.7),nan,(0.4)
Funded pension contributions,nan,(0.6),nan,(0.8),nan,(0.6)
Shareholder distributions,nan,(0.6),nan,(0.4),nan,(2.5)
All other (b),nan,0.5,nan,7.9,nan,(9.5)
Change in cash,$,8.5,$,5.7,$,(4.3)
__________,nan,nan,nan,nan,nan,nan
