Adjusted Net Operating Profit/(Loss) After Cash Tax,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Net income/(loss) attributable to Ford,$,(1.3),$,17.9,$,(2.0)
Add: Noncontrolling interest,nan,—,nan,—,nan,(0.2)
Less: Income tax,nan,(0.2),nan,0.1,nan,0.9
Add: Cash tax,nan,(0.4),nan,(0.6),nan,(0.8)
Less: Interest on debt,nan,(1.6),nan,(1.8),nan,(1.3)
Less: Total pension / OPEB income / (cost),nan,(1.0),nan,4.9,nan,0.4
Add: Pension / OPEB service costs,nan,(1.1),nan,(1.1),nan,(1.0)
Net operating profit/(loss) after cash tax,$,0.1,$,13.0,$,(3.9)
Less: Special items (excl. pension / OPEB) pre-tax,nan,(0.4),nan,5.9,nan,(11.7)
Adjusted net operating profit/(loss) after cash tax,$,0.5,$,7.1,$,7.8
Invested Capital,nan,nan,nan,nan,nan,nan
Equity,$,30.8,$,48.6,$,43.2
Debt (excl. Ford Credit),nan,24.0,nan,20.4,nan,19.9
Net pension and OPEB liability,nan,13.3,nan,6.4,nan,4.7
Invested capital (end of period),$,68.1,$,75.4,$,67.8
Average invested capital,$,70.7,$,72.1,$,70.0
