Unnamed: 0,Unnamed: 1,Unnamed: 2
31 December 2021 Fair Values,nan,nan
in euro thousand Assets,Liabilities,Change in values
nan,nan,of hedging
nan,nan,instrument
Fair value hedges,nan,nan
"Foreign currency risk 57,294","57,651","(43,415)"
"Interest rate risk 431,327","106,441","(532,422)"
The accumulated amount of hedge-related fair value adjustments is euro 1.804 million (2021: euro 316 million,nan,nan
related to debt securities and loans due to banks.,nan,nan
Offsetting of financial instruments,nan,nan
The offsetting of the financial assets and liabilities for derivatives with external parties of the Company,nan,nan
account. Actual balance sheet netting does not occur due to non-fulfilment of required conditions. Since,nan,nan
"master netting agreements or similar contracts are in place actual offsetting would in principle be possible, f",nan,nan
the case of insolvency of the counterparty. Offsetting would have the following impact on the balance sheet,nan,nan
derivatives:,nan,nan
in euro thousand 2022,2021,nan
Assets Liabilities,Assets,Liabilities
Gross amounts as presented in the,nan,nan
"balance sheet 1,314,786 (2,386,859)","872,315","(662,094)"
"Amounts subject to an enforceable (876,201) 876,201","(458,569)","458,569"
master netting agreement,nan,nan
"Net amount after offsetting 438,585 (1,510,658)","413,746","(203,525)"
