Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Revenues,nan,nan,nan,nan,nan,nan
Automotive sales,$,"67,210",$,"44,125",$,"24,604"
Automotive regulatory credits,nan,"1,776",nan,"1,465",nan,"1,580"
Automotive leasing,nan,"2,476",nan,"1,642",nan,"1,052"
Total automotive revenues,nan,"71,462",nan,"47,232",nan,"27,236"
Energy generation and storage,nan,"3,909",nan,"2,789",nan,"1,994"
Services and other,nan,"6,091",nan,"3,802",nan,"2,306"
Total revenues,nan,"81,462",nan,"53,823",nan,"31,536"
Cost of revenues,nan,nan,nan,nan,nan,nan
Automotive sales,nan,"49,599",nan,"32,415",nan,"19,696"
Automotive leasing,nan,"1,509",nan,978,nan,563
Total automotive cost of revenues,nan,"51,108",nan,"33,393",nan,"20,259"
Energy generation and storage,nan,"3,621",nan,"2,918",nan,"1,976"
Services and other,nan,"5,880",nan,"3,906",nan,"2,671"
Total cost of revenues,nan,"60,609",nan,"40,217",nan,"24,906"
Gross profit,nan,"20,853",nan,"13,606",nan,"6,630"
Operating expenses,nan,nan,nan,nan,nan,nan
Research and development,nan,"3,075",nan,"2,593",nan,"1,491"
"Selling, general and administrative",nan,nan,nan,nan,nan,nan
nan,nan,"3,946",nan,"4,517",nan,"3,145"
Restructuring and other,nan,176,nan,(27 ),nan,—
Total operating expenses,nan,"7,197",nan,"7,083",nan,"4,636"
Income from operations,nan,"13,656",nan,"6,523",nan,"1,994"
Interest income,nan,297,nan,56,nan,30
Interest expense,nan,(191 ),nan,(371 ),nan,(748 )
"Other (expense) income, net",nan,(43 ),nan,135,nan,(122)
Income before income taxes,nan,"13,719",nan,"6,343",nan,"1,154"
Provision for income taxes,nan,"1,132",nan,699,nan,292
Net income,nan,"12,587",nan,"5,644",nan,862
Net income attributable to noncontrolling,nan,nan,nan,nan,nan,nan
interests and redeemable noncontrolling interests,nan,nan,nan,nan,nan,nan
in subsidiaries,nan,31,nan,125,nan,141
Net income attributable to common stockholders,$,"12,556",$,"5,519",$,721
Net income per share of common stock,nan,nan,nan,nan,nan,nan
attributable to common stockholders (1),nan,nan,nan,nan,nan,nan
Basic,$,4.02,$,1.87,$,0.25
Diluted,nan,3.62,nan,1.63,nan,0.21
nan,$,nan,$,nan,$,nan
Weighted average shares used in computing net,nan,nan,nan,nan,nan,nan
income per share of common stock (1),nan,nan,nan,nan,nan,nan
Basic,nan,"3,130",nan,"2,959",nan,"2,798"
Diluted,nan,"3,475",nan,"3,386",nan,"3,249"
