Liquidity Sources (a),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Cash,$,18.5,$,12.4,$,11.2
Committed asset-backed facilities,nan,38.1,nan,37.1,nan,37.4
Other unsecured credit facilities,nan,2.5,nan,2.7,nan,2.3
Total liquidity sources,$,59.1,$,52.2,$,50.9
Utilization of Liquidity (a),nan,nan,nan,nan,nan,nan
Securitization cash and restricted cash,$,(3.9),$,(3.9),$,(2.9)
Committed asset-backed facilities,nan,(16.7),nan,(12.5),nan,(26.6)
Other unsecured credit facilities,nan,(0.5),nan,(1.0),nan,(0.8)
Total utilization of liquidity,$,(21.1),$,(17.4),$,(30.3)
Gross liquidity,$,38.0,$,34.8,$,20.6
Asset-backed capacity in excess of eligible receivables and other adjustments,nan,(2.6),nan,(2.8),nan,0.4
Net liquidity available for use,$,35.4,$,32.0,$,21.0
__________,nan,nan,nan,nan,nan,nan
