2024 $,892,$,418
2025,831,nan,81
2026,706,nan,57
2027,603,nan,38
2028,508,nan,2
Thereafter,"1,820",nan,4
Total minimum lease payments,"5,360",nan,600
Less: Interest,"1,017",nan,27
Present value of lease obligations,"4,343",nan,573
Less: Current portion,672,nan,398
Long-term portion of lease obligations $,"3,671",$,175
"As of December 31, 2023, we have excluded from the table above additional operating leases that have not yet commenced with aggregate rent",nan,nan,nan
payments of $1.53 billion. These operating leases will commence between fiscal year 2024 and 2025 with lease terms of 2 years to 20 years.,nan,nan,nan
Operating Lease and Sales-type Lease Receivables,nan,nan,nan
"We are the lessor of certain vehicle and solar energy system arrangements as described in Note 2, Summary of Significant Accounting Policies. As of",nan,nan,nan
"December 31, 2023, maturities of our operating lease and sales-type lease receivables from customers for each of the next five years and thereafter were",nan,nan,nan
as follows (in millions):,nan,nan,nan
nan,Operating,nan,Sales-type
nan,Leases,nan,Leases
2024 $,"1,405",$,227
2025,960,nan,214
2026,461,nan,210
2027,227,nan,102
2028,197,nan,25
Thereafter,"1,492",nan,2
Gross lease receivables $,"4,742",$,780
