2023 $,"1,212",$,202
2024,900,nan,208
2025,463,nan,192
2026,215,nan,174
2027,194,nan,49
Thereafter,"1,697",nan,12
Gross lease receivables $,"4,681",$,837
The above table does not include vehicle sales to customers or leasing partners with a resale value guarantee as the cash payments were,nan,nan,nan
"received upfront. For our solar PPA arrangements, customers are charged solely based on actual power produced by the installed solar energy system",nan,nan,nan
at a predefined rate per kilowatt-hour of power produced. The future payments from such arrangements are not included in the above table as they are,nan,nan,nan
a function of the power generated by the related solar energy systems in the future.,nan,nan,nan
Net Investment in Sales-type Leases,nan,nan,nan
"Net investment in sales-type leases, which is the sum of the present value of the future contractual lease payments, is presented on the",nan,nan,nan
consolidated balance sheets as a component of Prepaid expenses and other current assets for the current portion and as Other non-current assets for,nan,nan,nan
the long-term portion. Lease receivables relating to sales-type leases are presented on the consolidated balance sheets as follows (in millions):,nan,nan,nan
"December 31, 2022","December 31, 2021",nan,nan
Gross lease receivables $,837 $,nan,427
Unearned interest income,(95),nan,(50
Allowance for expected credit losses,(4 ),nan,(1
Net investment in sales-type leases $,738 $,nan,376
Reported as:,nan,nan,nan
Prepaid expenses and other current assets $,164 $,nan,73
Other non-current assets,574,nan,303
Net investment in sales-type leases $,738 $,nan,376
