Operating leases:,Unnamed: 0,Unnamed: 1,Unnamed: 3,Unnamed: 4,Unnamed: 5
Operating lease right-of-use assets $,"2,563",$,nan,nan,"2,016"
Accrued liabilities and other $,485,$,nan,nan,368
Other long-term liabilities,"2,164",nan,nan,nan,"1,671"
Total operating lease liabilities $,"2,649",$,nan,nan,"2,039"
Finance leases:,nan,nan,nan,nan,nan
"Solar energy systems, net $",25,$,nan,nan,27
"Property, plant and equipment, net","1,094",nan,nan,nan,"1,536"
Total finance lease assets $,"1,119",$,nan,nan,"1,563"
Current portion of long-term debt and finance leases $,486,$,nan,nan,501
"Long-term debt and finance leases, net of current portion",568,nan,nan,nan,991
Total finance lease liabilities $,"1,054",$,nan,nan,"1,492"
The components of lease expense are as follows (in millions) within our consolidated statements of operations:,nan,nan,nan,nan,nan
nan,"Year Ended December 31,",nan,nan,nan,nan
2022,2021,nan,nan,2020.0,nan
Operating lease expense:,nan,nan,nan,nan,nan
Operating lease expense (1) $ 798,$ 627,nan,$,nan,451
Finance lease expense:,nan,nan,nan,nan,nan
Amortization of leased assets $ 493,$ 415,nan,$,nan,348
Interest on lease liabilities 72,nan,89,nan,nan,100
Total finance lease expense $ 565,$ 504,nan,$,nan,448
"Total lease expense $ 1,363","$ 1,131",nan,$,nan,899
