Unnamed: 0,Unnamed: 1,2023,Unnamed: 2,2022,Unnamed: 3,Unnamed: 4,2021,Unnamed: 5
Current:,nan,nan,nan,nan,nan,nan,nan,nan
Federal,$,48,$,nan,—,$,nan,—
State,nan,57,nan,nan,62,nan,nan,9
Foreign,nan,"1,243",nan,nan,"1,266",nan,nan,839
Total current,nan,"1,348",nan,nan,"1,328",nan,nan,848
Deferred:,nan,nan,nan,nan,nan,nan,nan,nan
Federal,nan,"(5,246)",nan,nan,26,nan,nan,—
State,nan,(653),nan,nan,1,nan,nan,—
Foreign,nan,(450),nan,nan,(223),nan,nan,(149)
Total deferred,nan,"(6,349)",nan,nan,(196),nan,nan,(149)
Total (Benefit from) provision for income taxes,$,"(5,001) $",nan,nan,"1,132",$,nan,699
"The reconciliation of taxes at the federal statutory rate to our (benefit from) provision for income taxes for the years ended December 31, 2023,",nan,nan,nan,nan,nan,nan,nan,nan
2022 and 2021 was as follows (in millions):,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,"Year Ended December 31,",nan,nan,nan,nan,nan,nan
nan,nan,2023,nan,2022,nan,nan,2021.0,nan
Tax at statutory federal rate,$,"2,094",$,nan,"2,881",$,nan,"1,332"
"State tax, net of federal benefit",nan,(372),nan,nan,51,nan,nan,6
Nondeductible executive compensation,nan,23,nan,nan,14,nan,nan,201
Excess tax benefits related to stock-based compensation,nan,(288),nan,nan,(745),nan,nan,"(7,123)"
Nontaxable manufacturing credit,nan,(101),nan,nan,—,nan,nan,—
Foreign income rate differential,nan,(816),nan,nan,(923),nan,nan,(668)
U.S. tax credits,nan,(593),nan,nan,(276),nan,nan,(328)
GILTI inclusion,nan,670,nan,nan,"1,279",nan,nan,"1,008"
Unrecognized tax benefits,nan,183,nan,nan,252,nan,nan,28
Change in valuation allowance,nan,"(5,962)",nan,"(1,532)",nan,nan,nan,"6,165"
Other,nan,161,nan,nan,131,nan,nan,78
(Benefit from) provision for income taxes,$,"(5,001) $",nan,nan,"1,132",$,nan,699
