Assets,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Current assets,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"16,398",nan,$,"16,253"
Short-term investments,"12,696",nan,"5,932",nan,nan
"Accounts receivable, net","3,508",nan,"2,952",nan,nan
Inventory,"13,626",nan,"12,839",nan,nan
Prepaid expenses and other current assets,"3,388",nan,"2,941",nan,nan
Total current assets,"49,616",nan,"40,917",nan,nan
"Operating lease vehicles, net","5,989",nan,"5,035",nan,nan
"Solar energy systems, net","5,229",nan,"5,489",nan,nan
"Property, plant and equipment, net","29,725",nan,"23,548",nan,nan
Operating lease right-of-use assets,"4,180",nan,"2,563",nan,nan
"Digital assets, net",184,nan,184,nan,nan
"Intangible assets, net",178,nan,215,nan,nan
Goodwill,253,nan,194,nan,nan
Deferred tax assets,"6,733",nan,328,nan,nan
Other non-current assets,"4,531",nan,"3,865",nan,nan
Total assets,$,"106,618",nan,$,"82,338"
Liabilities,nan,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan,nan
Accounts payable,$,"14,431",nan,$,"15,255"
Accrued liabilities and other,"9,080",nan,"8,205",nan,nan
Deferred revenue,"2,864",nan,"1,747",nan,nan
Current portion of debt and finance leases,"2,373",nan,"1,502",nan,nan
Total current liabilities,"28,748",nan,"26,709",nan,nan
"Debt and finance leases, net of current portion","2,857",nan,"1,597",nan,nan
"Deferred revenue, net of current portion","3,251",nan,"2,804",nan,nan
Other long-term liabilities,"8,153",nan,"5,330",nan,nan
Total liabilities,"43,009",nan,"36,440",nan,nan
Commitments and contingencies (Note 15),nan,nan,nan,nan,nan
Redeemable noncontrolling interests in subsidiaries,242,nan,409,nan,nan
Equity,nan,nan,nan,nan,nan
Stockholders’ equity,nan,nan,nan,nan,nan
Preferred stock; $0.001 par value; 100 shares authorized; no shares issued and outstanding,—,nan,—,nan,nan
"Common stock; $0.001 par value; 6,000 shares authorized; 3,185 and 3,164 shares issued and outstanding as of December 31, 2023 and 2022, respectively",3,nan,3,nan,nan
Additional paid-in capital,"34,892",nan,"32,177",nan,nan
Accumulated other comprehensive loss,(143),nan,(361),nan,nan
Retained earnings,"27,882",nan,"12,885",nan,nan
Total stockholders’ equity,"62,634",nan,"44,704",nan,nan
Noncontrolling interests in subsidiaries,733,nan,785,nan,nan
Total liabilities and equity,$,"106,618",nan,$,"82,338"
