11  Balance Sheet at 31 December,31 December 2023,Maturity within,Maturity between,Maturity later,Total,Carrying
2023,in euro thousand,one year,one and five years,than five years,nan,amount
12 Cash Flow Statement for the year,nan,nan,nan,nan,nan,nan
ended 31 December 2023,nan,nan,nan,nan,nan,nan
13 Statement of Changes in Equity,nan,nan,nan,nan,nan,nan
14 Notes to the Financial Statements,Debt securities,"7,478,945","12,397,609","5,373,602","25,250,156","23,051,220"
15 1. Significant accounting policies,nan,nan,nan,nan,nan,nan
19 2. Interest income and expense,Loans due to banks and,nan,nan,nan,nan,nan
20 3. Other financial income and,BMW Group companies,"15,188,972","663,868","850,420","16,703,260","16,936,501"
expenses,nan,nan,nan,nan,nan,nan
20 4. Reversal of impairment / (impair-,Derivative instruments – outflow,"4,731,048","851,198","10,367,093","15,949,339","1,959,339"
ment loss) on financial,nan,nan,nan,nan,nan,nan
receivables,Derivative instruments – inflow,"3,767,789","713,120","9,632,142","14,113,051",–
20 5. Result from financial,Other financial liabilities,"1,350",–,–,"1,350","1,350"
transactions,nan,nan,nan,nan,nan,nan
21 6. Miscellaneous income &,Total,"23,632,526","13,199,555","6,958,973","43,791,054","41,948,410"
expenses,nan,nan,nan,nan,nan,nan
22 7. Taxes,nan,nan,nan,nan,nan,nan
22 8. Remuneration of Board of,nan,nan,nan,nan,nan,nan
Directors,nan,nan,nan,nan,nan,nan
23 9. Receivables from BMW Group,nan,nan,nan,nan,nan,nan
companies,31 December 2022,Maturity within,Maturity between,Maturity later,Total,Carrying
24 10. Other receivables,in euro thousand,one year,one and five years,than five years,nan,amount
24 11. Cash and cash equivalents,nan,nan,nan,nan,nan,nan
24 12. .Equity,nan,nan,nan,nan,nan,nan
* 25 27 13. Debt securities 14. Loans due to banks,Debt securities,"8,668,004","13,108,690","4,881,533","26,658,227","24,326,910"
27 15. Liabilities due to BMW Group,Loans due to banks and,nan,nan,nan,nan,nan
companies,nan,nan,nan,nan,nan,nan
28 16. Movement schedule liabilities,BMW Group companies,"14,452,998","704,549","775,308","15,932,855","15,796,369 *"
28 17. Deferred tax liability,nan,nan,nan,nan,nan,nan
28 18. Financial instruments,Derivative instruments – outflow,"4,950,902","5,664,099","1,184,039","11,799,040","2,386,859"
34 19. Risk management,Derivative instruments – inflow,"4,087,804","4,247,524","908,268","9,243,596",–
40 20. Related parties,nan,nan,nan,nan,nan,nan
41 21. Subsequent events,Other financial liabilities,"180,358",–,–,"180,358","180,358"
42 Other information,nan,nan,nan,nan,nan,nan
42 Independent auditor’s report,Total,"24,164,458","15,229,814","5,932,612","45,326,884","42,690,496"
42 Statutory rules as to appropriation,nan,nan,nan,nan,nan,nan
of result,* Adjusted for comparison purposes,nan,nan,nan,nan,nan
44 Declaration by the Supervisory,nan,nan,nan,nan,nan,nan
Board,nan,nan,nan,nan,nan,nan
45 Independent auditor’s report,The maturity analysis is based on undiscounted cash,nan,nan,nan,nan,nan
