Global Redesign,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Europe,$,(727),$,(530)
India,nan,(23),nan,(468)
South America,nan,"(2,486)",nan,(803)
Russia,nan,18,nan,5
China (including Taiwan),nan,(56),nan,150
Separations and Other (not included above),nan,(94),nan,(74)
Subtotal Global Redesign,$,"(3,368)",$,"(1,720)"
Other Items,nan,nan,nan,nan
Gain on transaction with Argo AI,$,"3,454",$,—
Gain on Rivian IPO and mark-to-market,nan,143,nan,"9,096"
Gains and losses on investments in equity securities (excl. Rivian),nan,100,nan,92
Debt extinguishment premium,nan,—,nan,"(1,692)"
Takata field service action,nan,(610),nan,—
Ford Credit - Brazil and Argentina,nan,—,nan,14
Other,nan,(226),nan,(10)
Subtotal Other Items,$,"2,861",$,"7,500"
Pension and OPEB Gain/(Loss),nan,nan,nan,nan
Pension and OPEB remeasurement,$,"(1,435)",$,"3,873"
Pension settlements and curtailments,nan,(61),nan,(70)
Subtotal Pension and OPEB Gain/(Loss),$,"(1,496)",$,"3,803"
Total EBIT Special Items,$,"(2,003)",$,"9,583"
Cash effect of Global Redesign (incl. separations),$,(503),$,"(1,935)"
Provision for/(Benefit from) tax special items (a),$,721,$,"(1,924)"
__________,nan,nan,nan,nan
