Unnamed: 0,Unnamed: 1
in euro thousand 2022,2021
"Debt securities part of a fair value hedge relationship 21,221,319","28,251,995"
"Debt securities at amortised cost 1,762,634","2,759,909"
"Commercial paper 1,174,056","300,126"
"Total 24,158,009","31,312,030"
The Bonds under the EMTN Program and other securities issued by the Company during the financial year,nan
comprise:,nan
Interest Currency Issue volume Weighted,Weighted
in thousands average average effective,nan
maturity period,interest rate
(in years),(in %)
"Variable EUR 500,000 3.0",1.8
"Variable NOK 1,230,000 3.0",5.3
"Variable SEK 1,500,000 4.0",3.2
"Fixed AUD 273,000 10.0",3.2
"Panda Bond CNY 13,500,000 3.0",3.0
"Fixed EUR 20,650,000 7.1",0.8
"Fixed HKD 1,224,000 6.6",2.9
"Fixed JPY 13,400,000 5.6",0.6
"Fixed NOK 750,000 4.0",2.3
"Fixed USD 1,000,000 7.5",2.6
The Bonds under the EMTN Program and other securities issued by the Company during the financial year,nan
comprise:,nan
Interest Currency Issue volume Weighted,Weighted
in thousands average average effective,nan
maturity period,interest rate
(in years),(in %)
"Variable EUR 2,000,000 2.2",0.0
"Variable NOK 1,730,000 3.0",2.3
"Variable SEK 1,500,000 4.0",0.5
"Variable USD 500,000 3.0",1.0
"Fixed AUD 273,000 10.0",3.2
"Fixed CNH 500,000 3.0",2.8
"Panda Bond CNY 16,500,000 3.0",3.0
"Fixed EUR 22,900,000 6.9",0.8
"Fixed GBP 600,000 6.0",0.9
"Fixed HKD 1,759,000 6.1",2.7
"Fixed JPY 13,400,000 5.6",0.6
"Fixed NOK 750,000 4.0",2.3
"Fixed USD 1,750,000 5.6",2.5
