GAAP Financial Measures,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Cash Flows from Operating Activities ($B) $,17.6,$,24.3,$,6.6
Revenue ($M),"155,900",nan,"127,144",nan,(18)%
Net Income/(Loss) ($M),47,nan,"(1,279)",nan,"(1,326)"
Net Income/(Loss) Margin (%),0.0 %,nan,(1.0)%,nan,(1.0) ppts
EPS (Diluted) $,0.01,$,(0.32),$,(0.33)
Non-GAAP Financial Measures (a),nan,nan,nan,nan,nan
Company Adj. Free Cash Flow ($B) $,2.9,$,1.3,$,(1.6)
Company Adj. EBIT ($M),"6,257",nan,"2,536",nan,"(3,721)"
Company Adj. EBIT Margin (%),4.0 %,nan,2.0 %,nan,(2.0) ppts
Adjusted EPS (Diluted) $,1.16,$,0.36,$,(0.80)
Adjusted ROIC (Trailing Four Qtrs),7.6 %,nan,0.7 %,nan,(6.9) ppts
__________,nan,nan,nan,nan,nan
(a) See Non-GAAP Financial Measure Reconciliations section for reconciliation to GAAP.,nan,nan,nan,nan,nan
"In 2020, our diluted earnings per share of Common and Class B Stock was a loss of $0.32 and our diluted adjusted",nan,nan,nan,nan,nan
earnings per share was $0.36.,nan,nan,nan,nan,nan
"Net income/(loss) margin was negative 1.0% in 2020, down from 0.0% a year ago. Company adjusted EBIT margin",nan,nan,nan,nan,nan
"was 2.0% in 2020, down from 4.0% in 2019.",nan,nan,nan,nan,nan
The table below shows our full year 2020 net income/(loss) attributable to Ford and Company adjusted EBIT by,nan,nan,nan,nan,nan
segment (in millions).,nan,nan,nan,nan,nan
nan,2019,nan,2020,nan,H / (L)
Automotive $,"4,888",$,"1,706",$,"(3,182)"
Mobility,(941),nan,"(1,052)",nan,(111)
Ford Credit,"2,998",nan,"2,608",nan,(390)
Corporate Other,(688),nan,(726),nan,(38)
Company Adjusted EBIT (a),"6,257",nan,"2,536",nan,"(3,721)"
Interest on Debt,"(1,020)",nan,"(1,649)",nan,629
Special Items,"(5,877)",nan,"(2,003)",nan,"(3,874)"
Taxes / Noncontrolling Interests,687,nan,(163),nan,850
Net Income/(Loss) $,47,$,"(1,279)",$,"(1,326)"
__________,nan,nan,nan,nan,nan
