eferred tax assets:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Net operating loss carry-forwards,$,"2,826",$,"4,486"
Research and development credits,nan,"1,358",nan,"1,184"
Other tax credits and attributes,nan,827,nan,217
Deferred revenue,nan,"1,035",nan,751
Inventory and warranty reserves,nan,"1,258",nan,819
Stock-based compensation,nan,230,nan,185
Operating lease right-of-use liabilities,nan,930,nan,554
Capitalized research and development costs,nan,"1,344",nan,693
Deferred GILTI tax assets,nan,760,nan,466
Accruals and others,nan,206,nan,178
Total deferred tax assets,nan,"10,774",nan,"9,533"
Valuation allowance,nan,(892),nan,"(7,349)"
"Deferred tax assets, net of valuation allowance",nan,"9,882",nan,"2,184"
eferred tax liabilities:,nan,nan,nan,nan
Depreciation and amortization,nan,"(2,122)",nan,"(1,178)"
Investment in certain financing funds,nan,(133),nan,(238)
Operating lease right-of-use assets,nan,(859),nan,(506)
Other,nan,(116),nan,(15)
Total deferred tax liabilities,nan,"(3,230)",nan,"(1,937)"
"Deferred tax assets (liabilities), net of valuation allowance",$,"6,652",$,247
