Accrued purchases (1) $,"2,721",$,"2,747"
"Accrued warranty reserve, current portion","1,546",nan,"1,025"
Payroll and related costs,"1,325",nan,"1,026"
Taxes payable (2),"1,204",nan,"1,235"
Customer deposits,876,nan,"1,063"
"Operating lease liabilities, current portion",672,nan,485
"Sales return reserve, current portion",219,nan,270
Other current liabilities,517,nan,354
Total $,"9,080",$,"8,205"
(1) Accrued purchases primarily reflects receipts of goods and services for which we had not yet been invoiced. As we are invoiced for these goods and,nan,nan,nan
"services, this balance will reduce and accounts payable will increase.",nan,nan,nan
"(2) Taxes payable includes value added tax, income tax, sales tax, property tax and use tax payables.",nan,nan,nan
Note 10 – Other Long-Term Liabilities,nan,nan,nan
Our other long-term liabilities consisted of the following (in millions):,nan,nan,nan
nan,"December 31,",nan,"December 31,"
nan,2023,nan,2022
Operating lease liabilities $,"3,671",$,"2,164"
Accrued warranty reserve,"3,606",nan,"2,480"
Other non-current liabilities,876,nan,686
Total other long-term liabilities $,"8,153",$,"5,330"
Note 11 – Debt,nan,nan,nan
"The following is a summary of our debt and finance leases as of December 31, 2023 (in millions):",nan,nan,nan
Net Carrying Value Unpaid Unused,nan,nan,nan
Principal Committed Contractual,nan,Contractual,nan
Current Long-Term Balance Amount (1) Interest Rates,nan,Maturity Date,nan
Recourse debt:,nan,nan,nan
2024 Notes $ 37 $ — $ 37 $ —,2.00 %,May 2024,nan
"RCF Credit Agreement — — — 5,000 Not applicable",nan,January 2028,nan
Solar Bonds — 7 7 —,4.70-5.75% March 2025 - January 2031,nan,nan
Other — — — 28 Not applicable,nan,December 2026,nan
"Total recourse debt 37 7 44 5,028",nan,nan,nan
Non-recourse debt:,nan,nan,nan
"Automotive Asset-backed Notes 1,906 2,337 4,259 —",0.60-6.57%,July 2024-May 2031,nan
Solar Asset-backed Notes 4 8 13 —,4.80 %,December 2026,nan
Cash Equity Debt 28 330 367 —,5.25-5.81% July 2033-January 2035,nan,nan
"Total non-recourse debt 1,938 2,675 4,639 —",nan,nan,nan
"Total debt 1,975 2,682 $ 4,683 $ 5,028",nan,nan,nan
Finance leases 398 175,nan,nan,nan
"Total debt and finance leases $ 2,373 $ 2,857",nan,nan,nan
