Unnamed: 0,Unnamed: 1,Unnamed: 2
31 December 2022 At amortised cost,Fair value through profit or,Total
in euro thousand,loss,nan
Liabilities,nan,nan
"Debt securities 24,158,009",-,"24,158,009"
"Loans due to banks 1,674,479",-,"1,674,479"
Derivative instruments,nan,-
Fair value hedges -,"1,931,179","1,931,179"
Other derivative instruments -,"455,680","455,680"
"Interest payables and other liabilities 180,358",-,"180,358"
"Liabilities due to BMW Group companies 14,111,869",-,"14,111,869"
"Total of financial liabilities 40,124,715","2,386,859","42,511,574"
"For the financial year 2021, the items are also assigned to IFRS 9 categories in the following table:",nan,nan
31 December 2021 At amortised cost,Fair value through profit or,Total
in euro thousand,loss,nan
Assets,nan,nan
Derivative instruments -,-,nan
Fair value hedges -,"488,621","488,621"
Other derivative instruments -,"383,695","383,695"
Interest and other Receivables 1,-,1
"Cash and Cash equivalents 6,236",-,"6,236"
"Receivables from BMW Group companies 40,609,375",-,"40,609,375"
"Total of financial assets 40,615,612","872,316","41,487,928"
31 December 2021 At amortised,Fair value through profit or,Total
in euro thousand cost,loss,nan
Liabilities,nan,nan
"Debt securities 31,312,030",-,"31,312,030"
"Loans due to banks 2,723,515",-,"2,723,515"
Derivative instruments,nan,-
Fair value hedges -,"164,092","164,092"
Other derivative instruments -,"498,002","498,002"
"Interest payables and other liabilities 196,340",-,"196,340"
"Liabilities due to BMW Group companies 6,286,773",-,"6,286,773"
"Total of financial liabilities 40,518,658","662,094","41,180,752"
The hedge ratio applied by the Company is 100%.,nan,nan
Fair value measurement of financial instruments,nan,nan
The fair values shown are computed using the market information available at the balance sheet date throug,nan,nan
"measurement methods, e.g. discounted cash flow models. In the latter case, amounts were discounted at",nan,nan
2022 on the basis of the following interest rates:,nan,nan
% EUR GBP,AUD RUB JPY,ZAR
interest rate for 6 months 2.69 4.11,3.44 8.80 0.05,7.93
interest rate for one year 3.30 4.48,3.71 11.65 0.14,8.68
interest rate for five years 3.26 4.12,3.88 12.51 0.64,8.26
interest rate for 10 years 3.22 3.77,4.18 11.86 0.95,9.17
