Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
in euro thousand,Note,2022,2021
Net income/(loss) for the year,nan,"403,943","118,889"
Adjustments for non-cash items,nan,nan,nan
Fair value measurement gains derivatives,[5],"1,580,318","451,644"
Fair value measurement losses debt securities,[5],"(1,702,472)","(572,175)"
Amortisation financial instruments,nan,"12,496","1,427"
Loss/ (gain) on revaluation of financial instruments,[12],"(2,833)","(7,635)"
Change in impairment allowance,[4],96,(13)
Taxes,[7],"146,657","36,793"
Interest income,[2],"(988,331)","(750,694)"
Interest expense,[2],"961,574","724,408"
Changes in operating assets and liabilities,nan,nan,nan
Receivables from BMW Group companies,[9],"(1,554,602)","331,671"
Receivables and other assets,nan,"(65,154)","5,513"
Derivatives,nan,"(298,024)","8,244"
Liabilities to BMW Group companies,[15],"140,828",-
Other liabilities,[16],"1,036","(1,054)"
Interest received,nan,"847,518","742,188"
Interest paid,nan,"(971,345)","(722,914)"
Tax paid,nan,(391),-
Cash flow from operating activities,nan,"(1,488,686)","366,292"
Marketable securities disposals,nan,-,-
Cash flow from investing activities,nan,-,-
Proceeds from the issuance of Debt securities,nan,"13,740,846","3,059,928"
Repayment Debt securities,nan,"(18,960,174)","(5,892,551)"
Proceeds from the issuance of the Liabilities to BMW Group companies,nan,"90,221,593","22,176,130"
Repayment Liabilities to BMW group companies,nan,"(82,697,238)","(19,029,620)"
Repayment Loans due to banks,nan,"(821,536)","(680,194)"
Cash flow from financing activities,nan,"1,483,491","(366,307)"
Net decrease in cash and cash equivalents,nan,"(5,195)",(15)
Cash and cash equivalents at January 1,nan,"6,236","6,251"
Cash and cash equivalents at December 31,[11],"1,041","6,236"
