Unnamed: 0,Unnamed: 1,Unnamed: 2
in euro thousand Outstanding,Weighted average,Weighted average
nan,maturity period,interest rates
nan,(in years),(in %)
2022 2021,2022 2021,2022 2021
"Total 1,174,056 300,126",0.06 0.08,1.95 (0.58)
The Company also utilised successfully its French Commercial paper program and issued 24 new liabilities w,nan,nan
"amount of euro 1.802 billion by the end of 2022, whereof the Company repaid euro 1.667 billion in 2022.",nan,nan
Loans due to banks,nan,nan
The average maturity and interest rates are presented in the table below:,nan,nan
in euro thousand Outstanding,Weighted average,Weighted average
nan,maturity period,interest rates
nan,(in years),(in %)
2022 2021,2022 2021,2022 2021
"Total 1,674,479 2,723,515",9.11 7.58,0.93 0.81
Liabilities due to BMW Group companies,nan,nan
in euro thousand Maturity within Maturity between,Maturity later,Total
one year,one and five than five years,nan
nan,years,nan
"2022 14,086,869","25,000","- 14,111,869"
"2021 5,511,773","775,000","- 6,286,773"
