Unnamed: 0,2019,2020,Unnamed: 1
United States,"2,412","1,826","1,716"
Canada,289,210,233
Mexico,53,34,40
North America,"2,765","2,081","2,006"
Brazil,218,135,27
Argentina,47,31,26
South America,295,185,81
United Kingdom,367,208,227
Germany,328,211,152
EU20 (b),"1,317",904,806
Turkey,47,102,72
Europe,"1,390","1,020",891
China (c),535,617,649
Australia,64,57,70
India,73,46,34
ASEAN (d),102,67,75
Russia,28,14,22
International Markets Group,401,284,315
Total Company,"5,386","4,187","3,942"
__________,nan,nan,nan
