Assets,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Current assets,nan,nan,nan,nan
Cash and cash equivalents,$,"16,398",$,"16,253"
Short-term investments,nan,"12,696",nan,"5,932"
"Accounts receivable, net",nan,"3,508",nan,"2,952"
Inventory,nan,"13,626",nan,"12,839"
Prepaid expenses and other current assets,nan,"3,388",nan,"2,941"
Total current assets,nan,"49,616",nan,"40,917"
"Operating lease vehicles, net",nan,"5,989",nan,"5,035"
"Solar energy systems, net",nan,"5,229",nan,"5,489"
"Property, plant and equipment, net",nan,"29,725",nan,"23,548"
Operating lease right-of-use assets,nan,"4,180",nan,"2,563"
"Digital assets, net",nan,184,nan,184
"Intangible assets, net",nan,178,nan,215
Goodwill,nan,253,nan,194
Deferred tax assets,nan,"6,733",nan,328
Other non-current assets,nan,"4,531",nan,"3,865"
Total assets,$,"106,618",$,"82,338"
Liabilities,nan,nan,nan,nan
Current liabilities,nan,nan,nan,nan
Accounts payable,$,"14,431",$,"15,255"
Accrued liabilities and other,nan,"9,080",nan,"8,205"
Deferred revenue,nan,"2,864",nan,"1,747"
Current portion of debt and finance leases,nan,"2,373",nan,"1,502"
Total current liabilities,nan,"28,748",nan,"26,709"
"Debt and finance leases, net of current portion",nan,"2,857",nan,"1,597"
"Deferred revenue, net of current portion",nan,"3,251",nan,"2,804"
Other long-term liabilities,nan,"8,153",nan,"5,330"
Total liabilities,nan,"43,009",nan,"36,440"
Commitments and contingencies (Note 15),nan,nan,nan,nan
Redeemable noncontrolling interests in subsidiaries,nan,242,nan,409
Equity,nan,nan,nan,nan
Stockholders’ equity,nan,nan,nan,nan
Preferred stock; $0.001 par value; 100 shares authorized; no shares issued and outstanding,nan,—,nan,—
"Common stock; $0.001 par value; 6,000 shares authorized; 3,185 and 3,164 shares issued and outstanding as of",nan,nan,nan,nan
"December 31, 2023 and 2022, respectively",nan,3,nan,3
Additional paid-in capital,nan,"34,892",nan,"32,177"
Accumulated other comprehensive loss,nan,(143),nan,(361)
Retained earnings,nan,"27,882",nan,"12,885"
Total stockholders’ equity,nan,"62,634",nan,"44,704"
Noncontrolling interests in subsidiaries,nan,733,nan,785
Total liabilities and equity,$,"106,618",$,"82,338"
