GAAP Financial Measures,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Cash Flows from Operating Activities ($B) $,24.3,$,15.8,$,(8.5)
Revenue ($M),"127,144",nan,"136,341",nan,7 %
Net Income/(Loss) ($M),"(1,279)",nan,"17,937",$,"19,216"
Net Income/(Loss) Margin (%),(1.0) %,nan,13.2 %,nan,14.2 ppts
EPS (Diluted) $,(0.32),$,4.45,$,4.77
Non-GAAP Financial Measures (a),nan,nan,nan,nan,nan
Company Adj. Free Cash Flow ($B) $,1.3,$,4.6,$,3.3
Company Adj. EBIT ($M),"2,536",nan,"10,000",nan,"7,464"
Company Adj. EBIT Margin (%),2.0 %,nan,7.3 %,nan,5.3 ppts
Adjusted EPS (Diluted) $,0.36,$,1.59,$,1.23
Adjusted ROIC (Trailing Four Qtrs),0.7 %,nan,9.8 %,nan,9.1 ppts
__________,nan,nan,nan,nan,nan
(a) See Non-GAAP Financial Measure Reconciliations section for reconciliation to GAAP.,nan,nan,nan,nan,nan
"In 2021, our diluted earnings per share of Common and Class B Stock was $4.45 and our diluted adjusted earnings",nan,nan,nan,nan,nan
per share was $1.59.,nan,nan,nan,nan,nan
"Net income/(loss) margin was 13.2% in 2021, up from negative 1.0% a year ago. Company adjusted EBIT margin",nan,nan,nan,nan,nan
"was 7.3% in 2021, up from 2.0% a year ago.",nan,nan,nan,nan,nan
The table below shows our full year 2021 net income/(loss) attributable to Ford and Company adjusted EBIT by,nan,nan,nan,nan,nan
segment (in millions).,nan,nan,nan,nan,nan
nan,2020,nan,2021,nan,H / (L)
Automotive $,"1,706",$,"7,397",$,"5,691"
Mobility,"(1,052)",nan,"(1,030)",nan,22
Ford Credit,"2,608",nan,"4,717",nan,"2,109"
Corporate Other,(726),nan,"(1,084)",nan,(358)
Company Adjusted EBIT (a),"2,536",nan,"10,000",nan,"7,464"
Interest on Debt,"(1,649)",nan,"(1,803)",nan,154
Special Items,"(2,003)",nan,"9,583",nan,"(11,586)"
Taxes / Noncontrolling Interests,(163),nan,157,nan,(320)
Net Income/(Loss) $,"(1,279)",$,"17,937",$,"19,216"
__________,nan,nan,nan,nan,nan
